2026-04-20 16:03:05,042 | INFO | autonomous_drone | Starting autonomous drone control loop.
2026-04-20 16:03:05,045 | WARNING | autonomous_drone | Could not initialize YOLO model: No module named 'ultralytics'
2026-04-20 16:03:06,281 | INFO | autonomous_drone | Connected to AirSim.
2026-04-20 16:03:09,820 | INFO | autonomous_drone | Takeoff command sent.
2026-04-20 16:03:09,824 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:10,041 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:10,041 | INFO | autonomous_drone | Step 0 completed. action=left
2026-04-20 16:03:10,144 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:10,362 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:10,364 | INFO | autonomous_drone | Step 1 completed. action=left
2026-04-20 16:03:10,467 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:10,684 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:10,685 | INFO | autonomous_drone | Step 2 completed. action=right
2026-04-20 16:03:10,789 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:11,003 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:11,003 | INFO | autonomous_drone | Step 3 completed. action=right
2026-04-20 16:03:11,107 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:11,326 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:11,327 | INFO | autonomous_drone | Step 4 completed. action=forward
2026-04-20 16:03:11,432 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:11,642 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:11,643 | INFO | autonomous_drone | Step 5 completed. action=right
2026-04-20 16:03:11,746 | DEBUG | autonomous_drone | RL agent selected action: hover
2026-04-20 16:03:11,961 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:11,962 | INFO | autonomous_drone | Step 6 completed. action=hover
2026-04-20 16:03:12,064 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:12,280 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
